dayIso	month	symbol	type	stockAttempted	quoteAttempted	tradeAttempted	enrichAttempted	expectedPaddedSlots	expectedCoreSlots	stockSlots	quoteSlots	tradeSlots	enrichSlots	stockMissingSlots	quoteMissingSlots	tradeMissingSlots	enrichVsTradeMissingSlots
2025-12-08	2025-12	DE	open	true	true	true	true	406	390	390	406	317	317	16	0	73	0
2025-12-08	2025-12	EOG	open	true	true	true	true	406	390	390	406	219	219	16	0	171	0
2025-12-08	2025-12	ETN	open	true	true	true	true	406	390	390	406	293	293	16	0	97	0
2025-12-08	2025-12	GE	open	true	true	true	true	406	390	390	406	355	355	16	0	35	0
2025-12-08	2025-12	GILD	open	true	true	true	true	406	390	390	406	315	315	16	0	75	0
2025-12-08	2025-12	GIS	open	true	true	true	true	406	390	390	406	324	324	16	0	66	0
2025-12-08	2025-12	HAL	open	true	true	true	true	406	390	390	406	310	310	16	0	80	0
2025-12-08	2025-12	HD	open	true	true	true	true	406	390	390	406	380	380	16	0	10	0
2025-12-08	2025-12	HON	open	true	true	true	true	406	390	390	406	211	211	16	0	179	0
2025-12-08	2025-12	ICE	open	true	true	true	true	406	390	340	406	76	76	66	0	314	0
2025-12-08	2025-12	JNJ	open	true	true	true	true	406	390	390	406	376	376	16	0	14	0
2025-12-08	2025-12	KEY	open	true	true	true	true	406	390	390	406	206	206	16	0	184	0
2025-12-08	2025-12	KHC	open	true	true	true	true	406	390	390	406	328	328	16	0	62	0
2025-12-08	2025-12	KO	open	true	true	true	true	406	390	390	406	386	386	16	0	4	0
2025-12-08	2025-12	LMT	open	true	true	true	true	406	390	390	406	384	384	16	0	6	0
2025-12-08	2025-12	LOW	open	true	true	true	true	406	390	390	406	254	254	16	0	136	0
2025-12-08	2025-12	MA	open	true	true	true	true	406	390	390	406	372	372	16	0	18	0
2025-12-08	2025-12	MCD	open	true	true	true	true	406	390	390	406	381	381	16	0	9	0
2025-12-08	2025-12	MMM	open	true	true	true	true	406	390	390	406	333	333	16	0	57	0
2025-12-08	2025-12	MO	open	true	true	true	true	406	390	390	406	360	360	16	0	30	0
2025-12-08	2025-12	MPC	open	true	true	true	true	406	390	380	406	98	98	26	0	292	0
2025-12-08	2025-12	MRK	open	true	true	true	true	406	390	390	406	386	386	16	0	4	0
2025-12-08	2025-12	MS	open	true	true	true	true	406	390	390	406	373	373	16	0	17	0
2025-12-08	2025-12	NOC	open	true	true	true	true	406	390	370	406	104	104	36	0	286	0
2025-12-08	2025-12	NOW	open	true	true	true	true	406	390	390	406	332	332	16	0	58	0
2025-12-08	2025-12	ORCL	open	true	true	true	true	406	390	390	406	389	389	16	0	1	0
2025-12-08	2025-12	OXY	open	true	true	true	true	406	390	390	406	389	389	16	0	1	0
2025-12-08	2025-12	PEP	open	true	true	true	true	406	390	390	406	379	379	16	0	11	0
