dayIso	month	symbol	type	expectedPaddedSlots	expectedCoreSlots	stockSlots	quoteSlots	tradeSlots	enrichSlots	stockMissingSlots	quoteMissingSlots	tradeMissingSlots	enrichVsTradeMissingSlots
2025-12-05	2025-12	VLO	open	406	390	406	286	286	286	0	104	104	0
2025-12-05	2025-12	WFC	open	406	390	406	387	387	387	0	3	3	0
2025-12-05	2025-12	XOM	open	406	390	406	389	389	389	0	1	1	0
2025-12-08	2025-12	ABBV	open	406	390	406	371	371	371	0	19	19	0
2025-12-08	2025-12	ABNB	open	406	390	406	350	350	350	0	40	40	0
2025-12-08	2025-12	AFRM	open	406	390	406	379	379	379	0	11	11	0
2025-12-08	2025-12	ALLY	open	406	390	406	172	172	172	0	218	218	0
2025-12-08	2025-12	AMGN	open	406	390	406	367	367	367	0	23	23	0
2025-12-08	2025-12	AXP	open	406	390	406	375	375	375	0	15	15	0
2025-12-08	2025-12	BAC	open	406	390	406	388	388	388	0	2	2	0
2025-12-08	2025-12	BLK	open	406	390	406	182	182	182	0	208	208	0
2025-12-08	2025-12	BMY	open	406	390	406	378	378	378	0	12	12	0
2025-12-08	2025-12	C	open	406	390	406	388	388	388	0	2	2	0
2025-12-08	2025-12	CAT	open	406	390	406	386	386	386	0	4	4	0
2025-12-08	2025-12	CL	open	406	390	406	286	286	286	0	104	104	0
2025-12-08	2025-12	CME	open	406	390	406	143	143	143	0	247	247	0
2025-12-08	2025-12	CMG	open	406	390	406	389	389	389	0	1	1	0
2025-12-08	2025-12	COP	open	406	390	406	325	325	325	0	65	65	0
2025-12-08	2025-12	CSCO	open	406	390	406	389	389	389	0	1	1	0
2025-12-08	2025-12	CVS	open	406	390	406	385	385	385	0	5	5	0
2025-12-08	2025-12	CVX	open	406	390	406	388	388	388	0	2	2	0
2025-12-08	2025-12	DE	open	406	390	406	317	317	317	0	73	73	0
2025-12-08	2025-12	EOG	open	406	390	406	219	219	219	0	171	171	0
2025-12-08	2025-12	ETN	open	406	390	406	293	293	293	0	97	97	0
2025-12-08	2025-12	GE	open	406	390	406	355	355	355	0	35	35	0
2025-12-08	2025-12	GILD	open	406	390	406	315	315	315	0	75	75	0
2025-12-08	2025-12	GIS	open	406	390	406	324	324	324	0	66	66	0
2025-12-08	2025-12	HAL	open	406	390	406	310	310	310	0	80	80	0
2025-12-08	2025-12	HD	open	406	390	406	380	380	380	0	10	10	0
2025-12-08	2025-12	HON	open	406	390	406	211	211	211	0	179	179	0
2025-12-08	2025-12	ICE	open	406	390	406	76	76	76	0	314	314	0
2025-12-08	2025-12	JNJ	open	406	390	406	376	376	376	0	14	14	0
2025-12-08	2025-12	KEY	open	406	390	406	206	206	206	0	184	184	0
2025-12-08	2025-12	KHC	open	406	390	406	328	328	328	0	62	62	0
2025-12-08	2025-12	KO	open	406	390	406	386	386	386	0	4	4	0
2025-12-08	2025-12	LMT	open	406	390	406	384	384	384	0	6	6	0
2025-12-08	2025-12	LOW	open	406	390	406	254	254	254	0	136	136	0
2025-12-08	2025-12	MA	open	406	390	406	372	372	372	0	18	18	0
2025-12-08	2025-12	MCD	open	406	390	406	381	381	381	0	9	9	0
