dayIso	month	symbol	type	expectedSlots	stockSlots	quoteSlots	tradeSlots	enrichSlots	stockMissingSlots	quoteMissingSlots	tradeMissingSlots	enrichVsTradeMissingSlots
2025-11-06	2025-11	DE	open	406	406	406	239	239	0	0	167	0
2025-11-06	2025-11	DIS	open	406	406	406	389	389	0	0	17	0
2025-11-06	2025-11	EOG	open	406	406	406	270	270	0	0	136	0
2025-11-06	2025-11	ETN	open	406	406	406	221	221	0	0	185	0
2025-11-06	2025-11	GE	open	406	406	406	352	352	0	0	54	0
2025-11-06	2025-11	GILD	open	406	406	406	310	310	0	0	96	0
2025-11-06	2025-11	GIS	open	406	406	406	217	217	0	0	189	0
2025-11-06	2025-11	GOOGL	open	406	406	406	390	390	0	0	16	0
2025-11-06	2025-11	GS	open	406	406	406	390	390	0	0	16	0
2025-11-06	2025-11	HAL	open	406	406	406	339	339	0	0	67	0
2025-11-06	2025-11	HD	open	406	406	406	386	386	0	0	20	0
2025-11-06	2025-11	HON	open	406	406	406	232	232	0	0	174	0
2025-11-06	2025-11	HOOD	open	406	406	406	390	390	0	0	16	0
2025-11-06	2025-11	ICE	open	406	406	406	105	105	0	0	301	0
2025-11-06	2025-11	INTC	open	406	406	406	390	390	0	0	16	0
2025-11-06	2025-11	JNJ	open	406	406	406	363	363	0	0	43	0
2025-11-06	2025-11	JPM	open	406	406	406	389	389	0	0	17	0
2025-11-06	2025-11	KEY	open	406	406	406	130	130	0	0	276	0
2025-11-06	2025-11	KHC	open	406	406	406	354	354	0	0	52	0
2025-11-06	2025-11	KO	open	406	406	406	386	386	0	0	20	0
2025-11-06	2025-11	LLY	open	406	406	406	390	390	0	0	16	0
2025-11-06	2025-11	LMT	open	406	406	406	354	354	0	0	52	0
2025-11-06	2025-11	LOW	open	406	406	406	287	287	0	0	119	0
2025-11-06	2025-11	MA	open	406	406	406	343	343	0	0	63	0
2025-11-06	2025-11	MCD	open	406	406	406	384	384	0	0	22	0
2025-11-06	2025-11	META	open	406	406	406	390	390	0	0	16	0
2025-11-06	2025-11	MMM	open	406	406	406	234	234	0	0	172	0
2025-11-06	2025-11	MO	open	406	406	406	360	360	0	0	46	0
2025-11-06	2025-11	MPC	open	406	406	406	176	176	0	0	230	0
2025-11-06	2025-11	MRK	open	406	406	406	385	385	0	0	21	0
2025-11-06	2025-11	MS	open	406	406	406	315	315	0	0	91	0
2025-11-06	2025-11	MSFT	open	406	406	406	390	390	0	0	16	0
2025-11-06	2025-11	MU	open	406	406	406	390	390	0	0	16	0
2025-11-06	2025-11	NFLX	open	406	406	406	390	390	0	0	16	0
2025-11-06	2025-11	NKE	open	406	406	406	389	389	0	0	17	0
2025-11-06	2025-11	NOC	open	406	406	406	88	88	0	0	318	0
2025-11-06	2025-11	NOW	open	406	406	406	386	386	0	0	20	0
2025-11-06	2025-11	NVDA	open	406	406	406	390	390	0	0	16	0
2025-11-06	2025-11	ORCL	open	406	406	406	386	386	0	0	20	0
2025-11-06	2025-11	OXY	open	406	406	406	373	373	0	0	33	0
2025-11-06	2025-11	PEP	open	406	406	406	380	380	0	0	26	0
2025-11-06	2025-11	PFE	open	406	406	406	390	390	0	0	16	0
2025-11-06	2025-11	PG	open	406	406	406	365	365	0	0	41	0
2025-11-06	2025-11	PLTR	open	406	406	406	390	390	0	0	16	0
2025-11-06	2025-11	PM	open	406	406	406	310	310	0	0	96	0
2025-11-06	2025-11	PNC	open	406	406	406	157	157	0	0	249	0
2025-11-06	2025-11	PSX	open	406	406	406	247	247	0	0	159	0
