symbol	month	scope_symbol_days	expected_1m_slots_calendar	early_close_days_in_scope	full_close_days_in_scope	trade_1m_slots	trade_slot_cov_pct	quote_1m_slots	quote_slot_cov_pct	stock_1m_slots	stock_slot_cov_pct	enrich_1m_slots	enrich_slot_cov_pct	enrich_vs_trade_slot_pct	trade_rows	quote_rows	stock_rows	enrich_rows
COIN	2026-01-01	20	8120	0	0	7800	96.06	7800	96.06	8120	100	7800	96.06	100	739731	362646	8120	52110
COP	2026-01-01	20	8120	0	0	7419	91.37	7419	91.37	8120	100	7419	91.37	100	80429	42925	8120	15533
COST	2026-01-01	20	8120	0	0	7799	96.05	7799	96.05	8120	100	7799	96.05	100	295922	181888	8120	7799
CRM	2026-01-01	20	8120	0	0	7785	95.87	7785	95.87	8120	100	7785	95.87	100	227592	135719	8120	38242
CSCO	2026-01-01	20	8120	0	0	7711	94.96	7711	94.96	8120	100	7711	94.96	100	113988	57232	8120	23153
CVS	2026-01-01	20	8120	0	0	7476	92.07	7476	92.07	8120	100	7476	92.07	100	86358	49668	8120	8946
CVX	2026-01-01	20	8120	0	0	7785	95.87	7785	95.87	8120	100	7785	95.87	100	353266	157672	8120	15209
DE	2026-01-01	20	8120	0	0	6734	82.93	6734	82.93	8120	100	6734	82.93	100	44252	23250	8120	7817
DIS	2026-01-01	20	8120	0	0	7733	95.23	7733	95.23	8120	100	7733	95.23	100	137487	74263	8120	25449
EOG	2026-01-01	20	8120	0	0	5124	63.1	5124	63.1	8120	100	5124	63.1	100	20092	12393	8120	6039
ETN	2026-01-01	20	8120	0	0	5529	68.09	5529	68.09	8120	100	5529	68.09	100	24946	14505	8120	7507
GE	2026-01-01	20	8120	0	0	7707	94.91	7707	94.91	8120	100	7707	94.91	100	130435	77618	8120	7707
GILD	2026-01-01	20	8120	0	0	6639	81.76	6639	81.76	8120	100	6639	81.76	100	43400	25463	8120	10009
GIS	2026-01-01	20	8120	0	0	5886	72.49	5886	72.49	8120	100	5886	72.49	100	24719	16192	8120	8846
GOOGL	2026-01-01	20	8120	0	0	7802	96.08	7802	96.08	8120	100	7802	96.08	100	1400741	517874	8120	219047
GS	2026-01-01	20	8120	0	0	7791	95.95	7791	95.95	8120	100	7791	95.95	100	269992	147352	8120	84367
HAL	2026-01-01	20	8120	0	0	7540	92.86	7540	92.86	8120	100	7540	92.86	100	94538	51679	8120	11400
HD	2026-01-01	20	8120	0	0	7708	94.93	7708	94.93	8120	100	7708	94.93	100	102109	65249	8120	33634
HON	2026-01-01	20	8120	0	0	6541	80.55	6541	80.55	8120	100	6541	80.55	100	39004	22441	8120	7299
HOOD	2026-01-01	20	8120	0	0	7801	96.07	7801	96.07	8120	100	7801	96.07	100	905093	474180	8120	136224
ICE	2026-01-01	20	8120	0	0	2118	26.08	2118	26.08	8120	100	2118	26.08	100	6660	3270	8120	2559
INTC	2026-01-01	20	8120	0	0	7800	96.06	7800	96.06	8120	100	7800	96.06	100	1846393	653539	8120	259264
JNJ	2026-01-01	20	8120	0	0	7705	94.89	7705	94.89	8120	100	7705	94.89	100	107130	56448	8120	20932
JPM	2026-01-01	20	8120	0	0	7800	96.06	7800	96.06	8120	100	7800	96.06	100	399121	202206	8120	33152
KEY	2026-01-01	20	8120	0	0	3054	37.61	3054	37.61	8120	100	3054	37.61	100	8274	5195	8120	4088
KHC	2026-01-01	20	8120	0	0	7227	89	7227	89	8120	100	7227	89	100	56985	30666	8120	13074
KO	2026-01-01	20	8120	0	0	7785	95.87	7785	95.87	8120	100	7785	95.87	100	170080	83357	8120	19274
LLY	2026-01-01	20	8120	0	0	7794	95.99	7794	95.99	8120	100	7794	95.99	100	292597	171636	8120	31108
LMT	2026-01-01	20	8120	0	0	7594	93.52	7594	93.52	8120	100	7594	93.52	100	89090	61206	8120	20023
LOW	2026-01-01	20	8120	0	0	6299	77.57	6299	77.57	8120	100	6299	77.57	100	34973	20037	8120	9195
MA	2026-01-01	20	8120	0	0	7464	91.92	7464	91.92	8120	100	7464	91.92	100	81638	49329	8120	10684
MCD	2026-01-01	20	8120	0	0	7536	92.81	7536	92.81	8120	100	7536	92.81	100	73521	47286	8120	18648
META	2026-01-01	20	8120	0	0	7801	96.07	7801	96.07	8120	100	7801	96.07	100	2593262	954888	8120	209384
MMM	2026-01-01	20	8120	0	0	6465	79.62	6465	79.62	8120	100	6465	79.62	100	41695	26582	8120	7406
