s.day_iso	s.symbol	expected_slots	stock_slots	quote_slots	trade_slots	enrich_slots
2025-11-07	NVDA	406	406	406	390	390
2025-11-07	ORCL	406	406	406	385	385
2025-11-07	OXY	406	406	406	386	386
2025-11-07	PEP	406	406	406	386	386
2025-11-07	PFE	406	406	406	390	390
2025-11-07	PG	406	406	406	382	382
2025-11-07	PLTR	406	406	406	390	390
2025-11-07	PM	406	406	406	367	367
2025-11-07	PNC	406	406	406	240	240
2025-11-07	PSX	406	406	406	228	228
2025-11-07	PYPL	406	406	406	390	390
2025-11-07	QCOM	406	406	406	390	390
2025-11-07	QQQ	406	406	406	405	405
2025-11-07	RBLX	406	406	406	386	386
2025-11-07	RF	406	406	406	104	104
2025-11-07	RTX	406	406	406	335	335
2025-11-07	SBUX	406	406	406	390	390
2025-11-07	SCHW	406	406	406	376	376
2025-11-07	SHOP	406	406	406	390	390
2025-11-07	SLB	406	406	406	366	366
2025-11-07	SNOW	406	406	406	389	389
2025-11-07	SOFI	406	406	406	390	390
2025-11-07	SPGI	406	406	406	168	168
2025-11-07	SPY	406	406	406	406	406
2025-11-07	TFC	406	406	406	123	123
2025-11-07	TGT	406	406	406	390	390
2025-11-07	TSLA	406	406	406	391	391
2025-11-07	UBER	406	406	406	390	390
2025-11-07	UNH	406	406	406	390	390
2025-11-07	UPST	406	406	406	390	390
2025-11-07	USB	406	406	406	262	262
2025-11-07	V	406	406	406	389	389
2025-11-07	VLO	406	406	406	310	310
2025-11-07	WFC	406	406	406	386	386
2025-11-07	WMT	406	406	406	390	390
2025-11-07	XOM	406	406	406	388	388
2025-11-10	AAPL	406	406	406	390	390
2025-11-10	ABBV	406	406	406	358	358
2025-11-10	ABNB	406	406	406	383	383
2025-11-10	ADBE	406	406	406	390	390
2025-11-10	AFRM	406	406	406	389	389
2025-11-10	ALLY	406	406	406	150	150
2025-11-10	AMD	406	406	406	390	390
2025-11-10	AMGN	406	406	406	345	345
2025-11-10	AMZN	406	406	406	390	390
2025-11-10	AVGO	406	406	406	390	390
2025-11-10	AXP	406	406	406	368	368
2025-11-10	BA	406	406	406	390	390
2025-11-10	BAC	406	406	406	390	390
2025-11-10	BLK	406	406	406	224	224
