HorizonYears,Mode,PersonId,Person,FundsUsed,AssignmentsUsed,Start,End,TradingDays,Calmar,AnnualizedReturn,MaxDrawdown,SPYCalmarSameWindow,QQQCalmarSameWindow,BeatsSPY,BeatsQQQ,BeatsEither
2,full,PM::Shaheen Iqubal,Shaheen Iqubal,1,1,2024-03-13,2026-03-13,501,0.9853440786113943,0.13057992273341656,-0.13252215704938075,0.7881149143201435,0.7412536460068084,True,True,True
2,full,PM::Charles A. Ragauss,Charles A. Ragauss,6,6,2024-03-13,2026-03-13,501,0.9789335987107125,0.10506526420664342,-0.10732624188710838,0.7881149143201435,0.7412536460068084,True,True,True
2,full,PM::Andrew Serowik,Andrew Serowik,2,2,2024-03-13,2026-03-13,501,0.9721123280207931,0.09824732010296389,-0.10106581026803152,0.7881149143201435,0.7412536460068084,True,True,True
2,full,PM::Vincent M. Lorusso,Vincent M. Lorusso,1,1,2024-03-13,2026-03-13,501,0.9200007454028359,0.1404556299894637,-0.15266903933644438,0.7881149143201435,0.7412536460068084,True,True,True
2,full,PM::Matthew A. Heimann,Matthew A. Heimann,1,1,2024-03-13,2026-03-13,501,0.9090158198471245,0.10575130383475395,-0.11633604336230241,0.7881149143201435,0.7412536460068084,True,True,True
2,full,PM::Kenneth R. Hyman,Kenneth R. Hyman,1,1,2024-03-13,2026-03-13,501,0.9090158198471238,0.10575130383475306,-0.11633604336230152,0.7881149143201435,0.7412536460068084,True,True,True
2,full,PM::Garrett Paolella,Garrett Paolella,2,2,2024-03-13,2026-03-13,501,0.8959817423475775,0.2389852439813085,-0.2667300377741393,0.7881149143201435,0.7412536460068084,True,True,True
2,full,PM::Troy Cates,Troy Cates,2,2,2024-03-13,2026-03-13,501,0.8959817423475775,0.2389852439813085,-0.2667300377741393,0.7881149143201435,0.7412536460068084,True,True,True
2,full,PM::Michael J. Venuto,Michael J. Venuto,3,3,2024-03-13,2026-03-13,501,0.8890759693598099,0.11579889343293037,-0.1302463427465178,0.7881149143201435,0.7412536460068084,True,True,True
2,full,PM::Shailesh Gupta,Shailesh Gupta,1,1,2024-03-13,2026-03-13,501,0.8820679644430235,0.047852950957208984,-0.05425086601736573,0.7881149143201435,0.7412536460068084,True,True,True
2,full,PM::Dustin Lewellyn,Dustin Lewellyn,3,3,2024-03-13,2026-03-13,501,0.880711953059289,0.1355123149380173,-0.15386678296722822,0.7881149143201435,0.7412536460068084,True,True,True
2,full,PM::John W. Gambla,John W. Gambla,7,7,2024-03-13,2026-03-13,501,0.8707988555299647,0.10747553456762327,-0.12342176828219886,0.7881149143201435,0.7412536460068084,True,True,True
2,full,PM::Rob A. Guttschow,Rob A. Guttschow,7,7,2024-03-13,2026-03-13,501,0.8707988555299647,0.10747553456762327,-0.12342176828219886,0.7881149143201435,0.7412536460068084,True,True,True
2,full,PM::Derek Devens,Derek Devens,1,1,2024-03-13,2026-03-13,501,0.8530678764926197,0.10795915638880693,-0.1265540050959133,0.7881149143201435,0.7412536460068084,True,True,True
2,full,PM::Eric Zhou,Eric Zhou,1,1,2024-03-13,2026-03-13,501,0.8530678764926197,0.10795915638880693,-0.1265540050959133,0.7881149143201435,0.7412536460068084,True,True,True
2,full,PM::Rory Ewing,Rory Ewing,1,1,2024-03-13,2026-03-13,501,0.8530678764926197,0.10795915638880693,-0.1265540050959133,0.7881149143201435,0.7412536460068084,True,True,True
2,full,PM::Alex Zweber,Alex Zweber,2,2,2024-03-13,2026-03-13,501,0.8297279646826077,0.09887261471123265,-0.11916268815774334,0.7881149143201435,0.7412536460068084,True,True,True
2,full,PM::Larry Berman,Larry Berman,2,2,2024-03-13,2026-03-13,501,0.8297279646826077,0.09887261471123265,-0.11916268815774334,0.7881149143201435,0.7412536460068084,True,True,True
2,full,PM::Michael Zaslavsky,Michael Zaslavsky,2,2,2024-03-13,2026-03-13,501,0.8297279646826077,0.09887261471123265,-0.11916268815774334,0.7881149143201435,0.7412536460068084,True,True,True
2,full,PM::James H Stavena,James H Stavena,3,3,2024-03-13,2026-03-13,501,0.8272639776952577,0.09526420980786421,-0.11515575726295801,0.7881149143201435,0.7412536460068084,True,True,True
2,full,PM::Torrey Zaches,Torrey Zaches,3,3,2024-03-13,2026-03-13,501,0.8272639776952556,0.09526420980786443,-0.11515575726295857,0.7881149143201435,0.7412536460068084,True,True,True
2,full,PM::Jay Pestrichelli,Jay Pestrichelli,7,7,2024-03-13,2026-03-13,501,0.8120602893424421,0.15562062185792525,-0.19163678350032054,0.7881149143201435,0.7412536460068084,True,True,True
2,full,PM::Raj Garigipati,Raj Garigipati,2,2,2024-03-13,2026-03-13,501,0.7951078326310205,0.1533718584434387,-0.19289441274390362,0.7881149143201435,0.7412536460068084,True,True,True
2,full,PM::Charles Collins,Charles Collins,1,1,2024-03-13,2026-03-13,501,0.7915947151502504,0.09273767975419056,-0.11715297990157536,0.7881149143201435,0.7412536460068084,True,True,True
2,full,PM::Jason A. Graffius,Jason A. Graffius,1,1,2024-03-13,2026-03-13,501,0.7915947151502504,0.09273767975419056,-0.11715297990157536,0.7881149143201435,0.7412536460068084,True,True,True
2,full,PM::Randall D. Schroeder,Randall D. Schroeder,1,1,2024-03-13,2026-03-13,501,0.7915947151502504,0.09273767975419056,-0.11715297990157536,0.7881149143201435,0.7412536460068084,True,True,True
2,full,PM::Andrew Beer,Andrew Beer,1,1,2024-03-13,2026-03-13,501,0.7536290407008469,0.11758304007861176,-0.1560224377357644,0.7881149143201435,0.7412536460068084,False,True,True
2,full,PM::Mathias Mamou-Mani,Mathias Mamou-Mani,1,1,2024-03-13,2026-03-13,501,0.7536290407008469,0.11758304007861176,-0.1560224377357644,0.7881149143201435,0.7412536460068084,False,True,True
2,full,PM::Michael Neches,Michael Neches,2,2,2024-03-13,2026-03-13,501,0.7404371954331176,0.1061996887219454,-0.14342835473010518,0.7881149143201435,0.7412536460068084,False,False,False
2,full,PM::Tarak Davé,Tarak Davé,2,2,2024-03-13,2026-03-13,501,0.7404371954331166,0.10619968872194518,-0.14342835473010507,0.7881149143201435,0.7412536460068084,False,False,False
