Universe,HorizonYears,Mode,Ticker,Name,Provider,Manager,Start,End,TradingDays,AnnualizedReturn,MaxDrawdown,Calmar,SPYCalmarSameWindow,QQQCalmarSameWindow,BeatsSPY,BeatsQQQ,BeatsEither
ManagerEquity,4,full,CG,The Carlyle Group Inc.,,Carlyle Group,2022-03-14,2026-03-13,1003,0.0583476677693191,-0.47647297808271394,0.12245745394440849,0.6293578531790636,0.599138774580446,False,False,False
ManagerEquity,4,full,EMG.L,Man Group Plc,,Man Group,2022-03-14,2026-03-13,1009,0.04990990647377047,-0.45959207870845653,0.10859609811819876,0.6293578531790636,0.599138774580446,False,False,False
ManagerEquity,4,full,BHMG.L,BH Macro Limited,,Brevan Howard,2022-03-14,2026-03-13,1009,0.034929891208556496,-0.35937499999999933,0.09719621901511391,0.6293578531790636,0.599138774580446,False,False,False
ManagerEquity,4,full,BX,Blackstone Inc.,,Blackstone,2022-03-14,2026-03-13,1003,0.030160576483588386,-0.4649715998800831,0.064865416492893,0.6293578531790636,0.599138774580446,False,False,False
ManagerEquity,4,full,OWL,Blue Owl Capital Inc.,,Blue Owl Capital,2022-03-14,2026-03-13,1003,-0.028753277025811763,-0.6558140008321541,-0.04384364620048839,0.6293578531790636,0.599138774580446,False,False,False
ManagerEquity,4,partial,BAM,Brookfield Asset Management Ltd.,,Brookfield Asset Management,2022-12-01,2026-03-13,821,0.1337765931583228,-0.3026980462321276,0.44194732943778114,0.9420059726908512,1.0930546860690726,False,False,False
ManagerEquity,5,full,MNGPF,Man Group Plc,,Man Group,2021-03-15,2026-03-13,1255,0.19075115846942037,-0.3915758828505218,0.4871371471624486,0.5061458356663489,0.39814323416500463,False,True,True
ManagerEquity,5,full,APO,"Apollo Global Management, Inc.",,Apollo Global Management,2021-03-15,2026-03-13,1255,0.19009525452228737,-0.4282127072135594,0.44392716825071366,0.5061458356663489,0.39814323416500463,False,True,True
ManagerEquity,5,full,TFG.L,Tetragon Financial Group Limited,,Tetragon,2021-03-15,2026-03-13,1261,0.11343257151925212,-0.25901213392199696,0.43794307935169174,0.5061458356663489,0.39814323416500463,False,True,True
ManagerEquity,5,full,ARES,Ares Management Corporation,,Ares Management,2021-03-15,2026-03-13,1255,0.1642663903363446,-0.4997175133645214,0.3287184978376367,0.5061458356663489,0.39814323416500463,False,False,False
ManagerEquity,5,full,AMG,"Affiliated Managers Group, Inc.",,Affiliated Managers Group,2021-03-15,2026-03-13,1255,0.1279933062655212,-0.4122022616457979,0.31051092673408187,0.5061458356663489,0.39814323416500463,False,False,False
ManagerEquity,5,full,PSHZF,"Pershing Square Holdings, Ltd.",,Pershing Square,2021-03-15,2026-03-13,1255,0.09555626928487215,-0.3145759106984699,0.30376219549902406,0.5061458356663489,0.39814323416500463,False,False,False
ManagerEquity,5,full,BN,Brookfield Corporation,,Brookfield Corporation,2021-03-15,2026-03-13,1255,0.11493844592753488,-0.4168551919237834,0.2757275143847792,0.5061458356663489,0.39814323416500463,False,False,False
ManagerEquity,5,full,KKR,KKR & Co. Inc.,,KKR,2021-03-15,2026-03-13,1255,0.12747906299561973,-0.49416214536016434,0.2579701099984259,0.5061458356663489,0.39814323416500463,False,False,False
ManagerEquity,5,full,EMG.L,Man Group Plc,,Man Group,2021-03-15,2026-03-13,1261,0.10767901773835908,-0.459592078708456,0.23429258842092812,0.5061458356663489,0.39814323416500463,False,False,False
ManagerEquity,5,full,BX,Blackstone Inc.,,Blackstone,2021-03-15,2026-03-13,1255,0.11113144702166866,-0.49286111779256647,0.2254822768722471,0.5061458356663489,0.39814323416500463,False,False,False
ManagerEquity,5,full,AB,AllianceBernstein Holding L.P.,,AllianceBernstein,2021-03-15,2026-03-13,1255,0.07895752704651815,-0.4575904649681003,0.17255063881635396,0.5061458356663489,0.39814323416500463,False,False,False
ManagerEquity,5,full,STEP,StepStone Group Inc.,,StepStone Group,2021-03-15,2026-03-13,1255,0.0994056745676346,-0.6018716695872768,0.16516091318237383,0.5061458356663489,0.39814323416500463,False,False,False
ManagerEquity,5,full,BHMG.L,BH Macro Limited,,Brevan Howard,2021-03-15,2026-03-13,1261,0.05788564122051687,-0.3593750000000002,0.16107308861361205,0.5061458356663489,0.39814323416500463,False,False,False
ManagerEquity,5,full,CG,The Carlyle Group Inc.,,Carlyle Group,2021-03-15,2026-03-13,1255,0.07450401623349778,-0.567501752765112,0.13128420462224522,0.5061458356663489,0.39814323416500463,False,False,False
ManagerEquity,5,full,OWL,Blue Owl Capital Inc.,,Blue Owl Capital,2021-03-15,2026-03-13,1255,0.012693045628126232,-0.6558140008321542,0.01935464264565896,0.5061458356663489,0.39814323416500463,False,False,False
ManagerEquity,5,full,GCMG,GCM Grosvenor Inc.,,GCM Grosvenor,2021-03-15,2026-03-13,1255,-0.001815610917606958,-0.4963833136487301,-0.0036576791920362385,0.5061458356663489,0.39814323416500463,False,False,False
ManagerEquity,5,partial,TPG,TPG Inc.,,TPG,2022-01-13,2026-03-13,1043,0.08491295431613288,-0.4383113736615398,0.19372747188098732,0.4655002416918495,0.3931707991970826,False,False,False
